Title,Year,Rating,Runtime,Critic.Score,Box.Office,Awards,International
Chicago,2002,PG-13,113,86,170.6,TRUE,TRUE
Confessions of a Dangerous Mind,2002,R,113,79,15.9,TRUE,TRUE
Spun,2002,R,101,37,0.2,FALSE,FALSE
The Hours,2002,PG-13,114,81,41.5,TRUE,TRUE
Adaptation.,2002,R,114,91,22.2,TRUE,FALSE
The Guru,2002,R,94,57,2.9,FALSE,TRUE
Dark Blue,2002,R,118,58,9.1,FALSE,TRUE
Poolhall Junkies,2002,R,99,34,0.5,FALSE,FALSE
Boat Trip,2002,R,94,7,8.5,FALSE,TRUE
City of Ghosts,2002,R,116,47,0.3,FALSE,FALSE
Personal Velocity: Three Portraits,2002,R,86,69,0.6,TRUE,FALSE
Laurel Canyon,2002,R,103,68,3.6,TRUE,FALSE
Phone Booth,2002,R,81,71,46.5,FALSE,FALSE
Better Luck Tomorrow,2002,R,101,81,3.7,TRUE,FALSE
Raising Victor Vargas,2002,R,88,96,2,TRUE,TRUE
The Dancer Upstairs,2002,R,132,64,2.3,TRUE,TRUE
Spellbound,2002,G,97,98,5.5,TRUE,FALSE
Nicholas Nickleby,2002,PG,132,77,1.3,TRUE,TRUE
Stolen Summer,2002,PG,91,36,0.1,FALSE,FALSE
Bend It Like Beckham,2002,PG-13,112,85,32.4,TRUE,TRUE
The Secret Lives of Dentists,2002,R,104,85,3.6,TRUE,FALSE
Assassination Tango,2002,R,114,48,0.9,FALSE,TRUE
Cabin Fever,2002,R,93,63,21.1,TRUE,FALSE
Pumpkin,2002,R,113,36,0.1,FALSE,FALSE
Darkness,2002,PG-13,88,4,22,TRUE,TRUE
G,2002,R,97,24,3,TRUE,FALSE
A Guy Thing,2003,PG-13,101,24,15.4,FALSE,FALSE
National Security,2003,PG-13,88,11,35.8,FALSE,FALSE
Darkness Falls,2003,PG-13,86,9,32,TRUE,TRUE
The Recruit,2003,PG-13,115,43,52.7,FALSE,FALSE
Final Destination 2,2003,R,90,48,46.5,FALSE,TRUE
The R.M.,2003,PG,101,64,0.4,FALSE,FALSE
Biker Boyz,2003,PG-13,110,23,21.7,FALSE,FALSE
How to Lose a Guy in 10 Days,2003,PG-13,116,42,105.8,TRUE,TRUE
Deliver Us from Eva,2003,R,105,44,17.3,TRUE,FALSE
Shanghai Knights,2003,PG-13,114,66,60.4,FALSE,TRUE
Daredevil,2003,PG-13,103,45,102.5,TRUE,FALSE
The Jungle Book 2,2003,G,72,19,47.8,TRUE,TRUE
Gods and Generals,2003,PG-13,219,8,12.9,TRUE,FALSE
Old School,2003,R,88,60,74.6,FALSE,FALSE
The Life of David Gale,2003,R,130,19,19.6,FALSE,TRUE
Cradle 2 the Grave,2003,R,101,26,34.5,FALSE,FALSE
Tears of the Sun,2003,R,121,33,43.4,FALSE,FALSE
Bringing Down the House,2003,PG-13,105,34,132.5,TRUE,FALSE
Willard,2003,PG-13,100,64,6.8,TRUE,TRUE
The Hunted,2003,R,94,29,34.2,FALSE,FALSE
Agent Cody Banks,2003,PG,102,39,47.3,FALSE,TRUE
Piglet's Big Movie,2003,G,75,71,23.1,FALSE,FALSE
Dreamcatcher,2003,R,134,30,33.6,TRUE,TRUE
View from the Top,2003,PG-13,87,14,15.5,FALSE,FALSE
Basic,2003,R,98,21,26.5,FALSE,TRUE
Head of State,2003,PG-13,95,31,37.8,FALSE,FALSE
The Core,2003,PG-13,135,41,31,FALSE,TRUE
A Man Apart,2003,R,109,11,26.2,FALSE,TRUE
What a Girl Wants,2003,PG,105,35,36,TRUE,FALSE
DysFunktional Family,2003,R,89,43,2.2,FALSE,FALSE
Anger Management,2003,PG-13,106,43,133.8,TRUE,FALSE
House of 1000 Corpses,2003,R,89,19,12.6,TRUE,FALSE
Bulletproof Monk,2003,PG-13,104,23,23,FALSE,TRUE
Chasing Papi,2003,PG,80,14,6.1,FALSE,FALSE
Ghosts of the Abyss,2003,PG,59,80,16.3,FALSE,FALSE
Holes,2003,PG,117,77,67.3,TRUE,FALSE
Malibu's Most Wanted,2003,PG-13,86,31,34.3,FALSE,FALSE
Confidence,2003,R,97,70,12.1,FALSE,TRUE
Identity,2003,R,90,62,51.5,FALSE,FALSE
The Real Cancun,2003,R,96,35,3.7,FALSE,FALSE
It Runs in the Family,2003,PG-13,109,28,7.4,FALSE,FALSE
The Lizzie McGuire Movie,2003,PG,94,40,42.7,TRUE,FALSE
X-Men 2,2003,PG-13,134,87,214.8,TRUE,TRUE
Daddy Day Care,2003,PG,92,28,104.1,TRUE,FALSE
A Mighty Wind,2003,PG-13,91,88,17.5,TRUE,FALSE
The Matrix Reloaded,2003,R,138,73,281.5,TRUE,TRUE
The Shape of Things,2003,R,96,64,0.7,FALSE,TRUE
Bruce Almighty,2003,PG-13,101,48,242.6,TRUE,FALSE
The In-Laws,2003,PG-13,98,34,20.4,FALSE,TRUE
Wrong Turn,2003,R,84,41,15.2,FALSE,TRUE
Finding Nemo,2003,G,100,99,41.1,TRUE,FALSE
The Italian Job,2003,PG-13,111,73,106,TRUE,TRUE
2 Fast 2 Furious,2003,PG-13,107,36,127.1,TRUE,TRUE
Hollywood Homicide,2003,PG-13,116,30,30,FALSE,FALSE
Rugrats Go Wild,2003,PG,80,41,39.4,FALSE,FALSE
Dumb and Dumberer: When Harry Met Lloyd,2003,PG-13,85,10,26.1,FALSE,FALSE
Hulk,2003,PG-13,138,62,132.1,TRUE,FALSE
From Justin to Kelly,2003,PG,81,10,4.6,TRUE,FALSE
Alex & Emma,2003,PG-13,96,11,14.1,FALSE,FALSE
Charlie's Angels: Full Throttle,2003,PG-13,106,43,100.7,TRUE,FALSE
Terminator 3: Rise of the Machines,2003,R,109,70,150.3,TRUE,TRUE
"Legally Blonde 2: Red, White & Blonde",2003,PG-13,95,38,89.8,TRUE,FALSE
Sinbad: Legend of the Seven Seas,2003,PG,86,46,26.3,FALSE,FALSE
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,79,305.3,TRUE,FALSE
The League of Extraordinary Gentlemen,2003,PG-13,110,17,66.3,FALSE,TRUE
How to Deal,2003,PG-13,101,28,14.1,FALSE,FALSE
Bad Boys II,2003,R,147,23,138.4,TRUE,FALSE
Johnny English,2003,PG,87,33,28,FALSE,TRUE
Spy Kids 3-D: Game Over,2003,PG,84,45,111.7,TRUE,FALSE
Seabiscuit,2003,PG-13,140,77,120.1,TRUE,FALSE
Lara Croft Tomb Raider: The Cradle of Life,2003,PG-13,117,24,65.7,TRUE,TRUE
American Wedding,2003,R,96,55,104.4,TRUE,TRUE
All the Real Girls,2003,R,108,71,0.1,TRUE,FALSE
Northfork,2003,PG-13,103,56,1.3,TRUE,FALSE
Freaky Friday,2003,PG,97,88,110.2,TRUE,FALSE
Masked and Anonymous,2003,PG-13,112,24,0.1,FALSE,TRUE
S.W.A.T.,2003,PG-13,117,48,116.6,TRUE,FALSE
Uptown Girls,2003,PG-13,92,14,36.9,FALSE,FALSE
Freddy vs. Jason,2003,R,97,40,82.2,TRUE,TRUE
Open Range,2003,R,139,79,58.3,TRUE,FALSE
Grind,2003,PG-13,105,8,5.1,FALSE,FALSE
Marci X,2003,R,84,9,1.5,FALSE,FALSE
The Medallion,2003,PG-13,88,18,22,FALSE,TRUE
Le divorce,2003,PG-13,117,37,8.9,TRUE,FALSE
Step Into Liquid,2003,PG,88,82,3.6,FALSE,FALSE
Camp,2003,PG-13,114,63,1.6,FALSE,FALSE
Jeepers Creepers II,2003,R,104,23,35.1,FALSE,FALSE
The Order,2003,R,102,8,7.5,FALSE,TRUE
Dickie Roberts: Former Child Star,2003,PG-13,98,23,22.7,TRUE,FALSE
Once Upon a Time in Mexico,2003,R,102,68,55.8,TRUE,FALSE
Matchstick Men,2003,PG-13,116,82,36.9,FALSE,FALSE
American Splendor,2003,R,101,94,6,TRUE,FALSE
Anything Else,2003,R,108,40,3.1,FALSE,TRUE
The Fighting Temptations,2003,PG-13,123,42,30.2,TRUE,FALSE
Cold Creek Manor,2003,R,118,12,21.3,FALSE,TRUE
Underworld,2003,R,121,31,51.5,TRUE,TRUE
Secondhand Lions,2003,PG,109,59,41.4,FALSE,FALSE
Thirteen,2003,R,100,81,4.5,TRUE,FALSE
Under the Tuscan Sun,2003,PG-13,113,62,43.5,FALSE,TRUE
Luther,2003,PG-13,123,44,5.7,TRUE,TRUE
The Rundown,2003,PG-13,104,71,47.6,TRUE,FALSE
Lost in Translation,2003,R,101,95,44.6,TRUE,TRUE
School of Rock,2003,PG-13,108,92,81.2,TRUE,TRUE
House of the Dead,2003,R,90,4,10.2,TRUE,TRUE
Intolerable Cruelty,2003,PG-13,100,75,35.1,FALSE,FALSE
Good Boy!,2003,PG,87,45,37.6,FALSE,FALSE
Mystic River,2003,R,138,87,90.1,TRUE,TRUE
Runaway Jury,2003,PG-13,127,72,49.2,FALSE,FALSE
The Texas Chainsaw Massacre,2003,R,98,36,80.1,TRUE,FALSE
Party Monster,2003,R,98,29,0.3,FALSE,TRUE
Scary Movie 3,2003,PG-13,84,36,109.8,TRUE,TRUE
Radio,2003,PG,109,36,52.3,TRUE,FALSE
Wonderland,2003,R,104,34,1,FALSE,TRUE
Beyond Borders,2003,R,127,14,4.4,FALSE,TRUE
In the Cut,2003,R,119,34,4.7,TRUE,TRUE
Brother Bear,2003,G,85,38,85.1,TRUE,FALSE
The Matrix Revolutions,2003,R,129,36,139.1,TRUE,TRUE
Elf,2003,PG,97,84,173.4,TRUE,TRUE
Love Actually,2003,R,135,63,59.4,TRUE,TRUE
Master and Commander: The Far Side of the World,2003,PG-13,138,85,93.9,TRUE,FALSE
The Singing Detective,2003,R,109,39,0.3,TRUE,FALSE
Elephant,2003,R,81,72,1.2,TRUE,FALSE
Looney Tunes: Back in Action,2003,PG,91,57,20.9,FALSE,TRUE
Tupac: Resurrection,2003,R,112,78,7.6,TRUE,FALSE
Dr. Seuss' The Cat in the Hat,2003,PG,82,10,100.4,TRUE,FALSE
Gothika,2003,R,98,14,59.5,TRUE,FALSE
Timeline,2003,PG-13,116,12,19.4,FALSE,FALSE
The Haunted Mansion,2003,PG,88,13,75.8,TRUE,FALSE
Shattered Glass,2003,PG-13,94,91,2.1,TRUE,TRUE
The Missing,2003,R,137,58,26.8,TRUE,FALSE
Pieces of April,2003,PG-13,80,84,2.4,TRUE,FALSE
Pride and Prejudice,2003,PG,104,66,0.0814,FALSE,FALSE
The Last Samurai,2003,R,154,65,111.1,TRUE,TRUE
Honey,2003,PG-13,94,21,30.2,FALSE,FALSE
Something's Gotta Give,2003,PG-13,128,71,124.6,TRUE,FALSE
Love Don't Cost a Thing,2003,PG-13,100,13,21.7,FALSE,FALSE
The Lord of the Rings: The Return of the King,2003,PG-13,201,95,377,TRUE,TRUE
Mona Lisa Smile,2003,PG-13,117,35,63.7,FALSE,FALSE
Paycheck,2003,PG-13,119,27,53.7,TRUE,TRUE
The Young Black Stallion,2003,G,45,45,6.1,FALSE,FALSE
Peter Pan,2003,PG,113,77,48.4,TRUE,TRUE
Cheaper by the Dozen,2003,PG,98,24,138.5,TRUE,FALSE
Calendar Girls,2003,PG-13,108,74,30.9,TRUE,TRUE
Casa de los babys,2003,R,95,58,0.3,FALSE,TRUE
House of Sand and Fog,2003,R,126,75,12.9,TRUE,FALSE
Big Fish,2003,PG-13,125,77,66.3,TRUE,FALSE
"The Book of Mormon Movie, Volume 1: The Journey",2003,PG-13,120,17,1.1,FALSE,FALSE
21 Grams,2003,R,124,80,16.2,TRUE,FALSE
The Cooler,2003,R,101,77,8.2,TRUE,FALSE
Monster,2003,R,109,82,34.2,TRUE,TRUE
Concert for George,2003,PG-13,146,94,0.07,TRUE,TRUE
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,PG-13,95,98,4.1,TRUE,FALSE
Touching the Void,2003,R,106,93,4.5,TRUE,TRUE
Billabong Odyssey,2003,PG,88,36,0.054,FALSE,FALSE
Easy,2003,R,99,59,0.0148,FALSE,FALSE
Bukowski: Born into This,2003,R,130,83,0.0817,FALSE,FALSE
I'll Sleep When I'm Dead,2003,R,103,43,0.2,FALSE,TRUE
The Company,2003,R,112,71,2.2,FALSE,TRUE
Where's the Party Yaar?,2003,PG-13,110,69,0.0488,FALSE,FALSE
Coffee and Cigarettes,2003,R,95,65,2,TRUE,TRUE
Latter Days,2003,R,107,43,0.6,TRUE,FALSE
Open Water,2003,R,79,72,30.5,TRUE,FALSE
I Am David,2003,PG,90,38,0.3,TRUE,FALSE
The Yes Men,2003,R,83,84,0.2,TRUE,FALSE
Baadasssss!,2003,R,109,91,0.3,TRUE,FALSE
Saints and Soldiers,2003,PG-13,90,66,1,TRUE,FALSE
The United States of Leland,2003,R,108,34,0.3,TRUE,FALSE
The Wild Parrots of Telegraph Hill,2003,G,83,95,2.7,TRUE,FALSE
Off the Map,2003,PG-13,105,70,1.3,TRUE,FALSE
The Woodsman,2004,R,87,88,1.5,TRUE,FALSE
Along Came Polly,2004,PG-13,90,26,87.9,TRUE,FALSE
Torque,2004,PG-13,84,23,21.1,FALSE,TRUE
Teacher's Pet,2004,PG,74,76,6.3,FALSE,FALSE
The Butterfly Effect,2004,R,113,33,57.7,TRUE,TRUE
Win a Date with Tad Hamilton!,2004,PG-13,95,53,16.9,FALSE,FALSE
The Big Bounce,2004,PG-13,88,16,6.3,FALSE,FALSE
The Perfect Score,2004,PG-13,93,17,10.3,FALSE,TRUE
Catch That Kid,2004,PG,91,12,16.5,FALSE,TRUE
Barbershop 2: Back in Business,2004,PG-13,106,68,65,TRUE,FALSE
Miracle,2004,PG,135,80,64.3,TRUE,FALSE
50 First Dates,2004,PG-13,99,44,120.8,TRUE,FALSE
Highwaymen,2004,R,80,13,0.3,FALSE,TRUE
The Best Two Years,2004,PG,112,73,0.2,FALSE,FALSE
Welcome to Mooseport,2004,PG-13,110,13,14.2,FALSE,TRUE
Confessions of a Teenage Drama Queen,2004,PG,89,13,29.2,TRUE,TRUE
Against the Ropes,2004,PG-13,111,12,5.7,FALSE,TRUE
The Passion of the Christ,2004,R,127,49,370.2,TRUE,FALSE
Stateside,2004,R,97,24,0.1,TRUE,TRUE
Club Dread,2004,R,104,29,4.6,FALSE,FALSE
Dirty Dancing: Havana Nights,2004,PG-13,86,22,14.1,FALSE,FALSE
Twisted,2004,R,97,1,25,TRUE,TRUE
Starsky & Hutch,2004,PG-13,101,63,88.2,TRUE,FALSE
Hidalgo,2004,PG-13,136,47,67.2,TRUE,TRUE
Agent Cody Banks 2: Destination London,2004,PG,100,13,23.2,FALSE,FALSE
NASCAR: The IMAX Experience,2004,PG,40,61,19.9,TRUE,TRUE
Secret Window,2004,PG-13,96,46,47.8,FALSE,FALSE
Spartan,2004,R,106,64,4.3,FALSE,TRUE
Dawn of the Dead,2004,R,101,75,58.9,TRUE,TRUE
Taking Lives,2004,R,103,22,32.6,FALSE,TRUE
Eternal Sunshine of the Spotless Mind,2004,R,108,93,34.1,TRUE,FALSE
Scooby-Doo 2: Monsters Unleashed,2004,PG,93,21,84,TRUE,TRUE
Never Die Alone,2004,R,88,25,5.5,FALSE,FALSE
Walking Tall,2004,PG-13,86,25,45.9,FALSE,FALSE
Hellboy,2004,PG-13,122,81,59,TRUE,FALSE
Home on the Range,2004,PG,76,54,49.9,FALSE,FALSE
The Prince and Me,2004,PG,111,28,28.1,FALSE,TRUE
Johnson Family Vacation,2004,PG-13,97,6,31,FALSE,FALSE
The Whole Ten Yards,2004,PG-13,98,4,16.2,FALSE,FALSE
Ella Enchanted,2004,PG,96,50,22.8,FALSE,TRUE
The Girl Next Door,2004,R,108,55,14.5,FALSE,FALSE
Connie and Carla,2004,PG-13,98,44,8,TRUE,FALSE
The Punisher,2004,R,124,29,33.7,TRUE,TRUE
13 Going on 30,2004,PG-13,98,64,56,FALSE,FALSE
Man on Fire,2004,R,146,39,77.7,TRUE,TRUE
Clifford's Really Big Movie,2004,G,73,53,2.8,FALSE,FALSE
Mean Girls,2004,PG-13,97,83,86,TRUE,TRUE
Godsend,2004,PG-13,102,4,14.3,FALSE,TRUE
Envy,2004,PG-13,99,7,12.2,FALSE,TRUE
Bobby Jones: Stroke of Genius,2004,PG,120,26,2.5,FALSE,FALSE
New York Minute,2004,PG,91,11,14,FALSE,FALSE
Troy,2004,R,163,54,133.1,TRUE,TRUE
Breakin' All the Rules,2004,PG-13,85,31,11.8,TRUE,FALSE
Shrek 2,2004,PG,93,88,436.5,TRUE,FALSE
A Day Without a Mexican,2004,R,100,27,4,TRUE,TRUE
Soul Plane,2004,R,86,18,13.9,FALSE,FALSE
Raising Helen,2004,PG-13,119,23,37.4,FALSE,FALSE
The Day After Tomorrow,2004,PG-13,124,45,186.6,TRUE,FALSE
Harry Potter and the Prisoner of Azkaban,2004,PG,142,91,249.4,TRUE,TRUE
Garfield,2004,PG,80,15,75.3,FALSE,FALSE
Saved!,2004,PG-13,92,61,8.8,TRUE,TRUE
The Chronicles of Riddick,2004,PG-13,119,29,56.8,FALSE,FALSE
The Stepford Wives,2004,PG-13,93,26,59.3,TRUE,FALSE
Around the World in 80 Days,2004,PG,120,31,23.9,FALSE,TRUE
The Terminal,2004,PG-13,128,61,77,TRUE,FALSE
Dodgeball: A True Underdog Story,2004,PG-13,92,70,114.2,TRUE,TRUE
White Chicks,2004,PG-13,109,15,69.1,TRUE,FALSE
Fahrenheit 9/11,2004,R,122,83,119.1,TRUE,FALSE
Spider-Man 2,2004,PG-13,127,94,373.4,TRUE,FALSE
King Arthur,2004,R,126,31,51.7,TRUE,TRUE
Sleepover,2004,PG,89,15,8.1,TRUE,FALSE
Anchorman: The Legend of Ron Burgundy,2004,PG-13,94,66,84.1,TRUE,FALSE
A Cinderella Story,2004,PG,95,11,51.4,TRUE,TRUE
The Clearing,2004,R,95,43,5.6,FALSE,TRUE
Catwoman,2004,PG-13,104,9,40.2,TRUE,FALSE
The Bourne Supremacy,2004,PG-13,108,81,176,TRUE,TRUE
She Hate Me,2004,R,138,19,0.0814,TRUE,FALSE
Before Sunset,2004,R,80,95,5.6,TRUE,FALSE
Thunderbirds,2004,PG,95,19,6.8,FALSE,TRUE
The Village,2004,PG-13,108,43,114.2,TRUE,FALSE
The Manchurian Candidate,2004,R,129,81,65.7,TRUE,FALSE
Harold & Kumar Go to White Castle,2004,R,88,74,18.2,FALSE,TRUE
Lightning in a Bottle,2004,PG-13,103,87,0.078,TRUE,FALSE
The Door in the Floor,2004,R,111,67,3.6,TRUE,FALSE
Little Black Book,2004,PG-13,111,21,20.4,FALSE,FALSE
Maria Full of Grace,2004,R,101,97,6.5,TRUE,TRUE
Collateral,2004,R,120,86,100,TRUE,FALSE
De-Lovely,2004,PG-13,125,48,13.1,TRUE,TRUE
The Princess Diaries 2: Royal Engagement,2004,G,113,25,95.1,TRUE,FALSE
Riding Giants,2004,PG-13,105,93,2.1,TRUE,TRUE
AVP: Alien vs. Predator,2004,PG-13,101,21,80.2,TRUE,TRUE
Yu-Gi-Oh!: The Movie,2004,PG,89,5,19.7,FALSE,TRUE
Garden State,2004,R,102,86,26.7,TRUE,FALSE
Benji: Off the Leash!,2004,PG,97,33,3.6,TRUE,FALSE
Exorcist: The Beginning,2004,R,114,11,41.8,FALSE,FALSE
Without a Paddle,2004,PG-13,95,14,58.2,FALSE,FALSE
Napoleon Dynamite,2004,PG,96,71,44.5,TRUE,FALSE
Anacondas: The Hunt for the Blood Orchid,2004,PG-13,97,26,31.5,FALSE,FALSE
Superbabies: Baby Geniuses 2,2004,PG,88,0,9,FALSE,TRUE
Suspect Zero,2004,R,99,18,8.6,FALSE,TRUE
Vanity Fair,2004,PG-13,141,51,16.1,TRUE,TRUE
We Don't Live Here Anymore,2004,R,101,65,1.9,TRUE,TRUE
Paparazzi,2004,PG-13,84,18,15.6,FALSE,FALSE
The Cookout,2004,PG-13,97,5,11.5,FALSE,FALSE
Wicker Park,2004,PG-13,114,25,12.8,FALSE,FALSE
Gunner Palace,2004,PG-13,85,85,0.0635,FALSE,FALSE
Resident Evil: Apocalypse,2004,R,94,21,50.7,TRUE,TRUE
Cellular,2004,PG-13,94,55,32,FALSE,TRUE
Mr 3000,2004,PG-13,104,54,21.8,TRUE,FALSE
Sky Captain and the World of Tomorrow,2004,PG,106,72,37.6,TRUE,TRUE
Wimbledon,2004,PG-13,98,60,16.8,FALSE,TRUE
First Daughter,2004,PG,106,8,9,FALSE,FALSE
Criminal,2004,R,87,69,0.7,FALSE,FALSE
The Forgotten,2004,PG-13,91,31,66.6,FALSE,FALSE
Shaun of the Dead,2004,R,99,92,13.5,TRUE,TRUE
Mean Creek,2004,R,90,90,0.3,TRUE,FALSE
Shark Tale,2004,PG,90,35,160.8,TRUE,FALSE
Going Upriver: The Long War of John Kerry,2004,PG-13,87,89,0.5,FALSE,FALSE
Taxi,2004,PG-13,97,10,36.5,TRUE,TRUE
Friday Night Lights,2004,PG-13,118,81,60.6,TRUE,FALSE
Raise Your Voice,2004,PG,103,15,10.4,TRUE,FALSE
A Home at the End of the World,2004,R,97,49,0.9,TRUE,TRUE
Team America: World Police,2004,R,98,77,32.7,TRUE,TRUE
Hair Show,2004,PG-13,105,17,0.2,FALSE,FALSE
Shall We Dance,2004,PG-13,106,46,57.8,FALSE,FALSE
The Final Cut,2004,PG-13,95,37,0.5,TRUE,TRUE
The Motorcycle Diaries,2004,R,126,84,16.7,TRUE,TRUE
Woman Thou Art Loosed,2004,R,94,50,6.8,TRUE,FALSE
The Grudge,2004,PG-13,92,39,110.2,TRUE,TRUE
I Heart Huckabees,2004,R,107,62,12.7,TRUE,TRUE
Surviving Christmas,2004,PG-13,91,7,11.2,TRUE,FALSE
The Assassination of Richard Nixon,2004,R,95,68,0.6,TRUE,TRUE
Ray,2004,PG-13,152,81,75.2,TRUE,FALSE
Saw,2004,R,103,48,0.7,TRUE,TRUE
Birth,2004,R,100,38,5,TRUE,TRUE
Thérèse: The Story of Saint Thérèse of Lisieux,2004,PG,96,11,0.6,FALSE,FALSE
The Last Shot,2004,R,93,61,0.4,FALSE,FALSE
Alfie,2004,R,103,49,13.4,TRUE,TRUE
Fade to Black,2004,R,109,58,1,FALSE,FALSE
The Polar Express,2004,G,100,55,0.5,TRUE,FALSE
After the Sunset,2004,PG-13,97,18,28.3,FALSE,FALSE
Seed of Chucky,2004,R,87,32,17,TRUE,TRUE
Bridget Jones: The Edge of Reason,2004,R,108,27,40.2,FALSE,TRUE
The SpongeBob SquarePants Movie,2004,PG,87,68,85.4,TRUE,FALSE
National Treasure,2004,PG,131,44,173,TRUE,FALSE
Alexander,2004,R,175,16,34.3,TRUE,TRUE
Christmas with the Kranks,2004,PG,99,5,73.7,TRUE,FALSE
Eros,2004,R,104,34,0.0537,TRUE,TRUE
The Machinist,2004,R,101,77,0.9,TRUE,TRUE
Blade: Trinity,2004,R,113,26,52.4,FALSE,FALSE
Closer,2004,R,104,68,34,TRUE,TRUE
Ocean's Twelve,2004,PG-13,125,55,125.4,TRUE,FALSE
Spanglish,2004,PG-13,131,53,42,TRUE,FALSE
Flight of the Phoenix,2004,PG-13,113,30,20.9,FALSE,FALSE
Lemony Snicket's A Series of Unfortunate Events,2004,PG,108,72,118.5,TRUE,TRUE
The Phantom of the Opera,2004,PG-13,143,32,51.2,TRUE,TRUE
Meet the Fockers,2004,PG-13,115,38,279.2,TRUE,FALSE
Fat Albert,2004,PG,93,25,48,FALSE,FALSE
The Aviator,2004,PG-13,170,87,102.6,TRUE,TRUE
Beyond the Sea,2004,PG-13,118,42,6.1,FALSE,TRUE
Kinsey,2004,R,118,90,10.2,TRUE,TRUE
A Very Long Engagement,2004,R,133,78,6.2,TRUE,TRUE
Duck Season,2004,R,90,90,0.1,TRUE,TRUE
In Good Company,2004,PG-13,109,83,45.5,TRUE,FALSE
Around the Bend,2004,R,85,28,0.1,TRUE,FALSE
The Work and the Glory,2004,PG,118,17,3,FALSE,FALSE
A Love Song for Bobby Long,2004,R,119,43,0.1,FALSE,FALSE
Sideways,2004,R,126,96,71.4,TRUE,TRUE
Million Dollar Baby,2004,PG-13,132,91,100.4,TRUE,FALSE
Riding the Bullet,2004,R,98,27,0.1,FALSE,TRUE
Hotel Rwanda,2004,PG-13,121,90,23.5,TRUE,TRUE
P.S.,2004,R,97,55,0.1,TRUE,FALSE
Being Julia,2004,R,104,76,7.7,TRUE,TRUE
The Merchant of Venice,2004,R,138,72,3.8,TRUE,TRUE
Eulogy,2004,R,91,32,0.0418,FALSE,TRUE
Bride & Prejudice,2004,PG-13,122,64,6.5,FALSE,TRUE
Born Into Brothels: Calcutta's Red Light Kids,2004,R,85,96,3.4,TRUE,FALSE
Melinda and Melinda,2004,PG-13,99,53,3.7,FALSE,FALSE
House of D,2004,PG-13,97,10,0.4,FALSE,FALSE
Jiminy Glick in Lalawood,2004,R,90,22,0.0257,FALSE,TRUE
Crash,2004,R,112,75,55.4,TRUE,TRUE
A Good Woman,2004,PG,93,37,0.0971,FALSE,TRUE
Primer,2004,PG-13,77,72,0.4,TRUE,FALSE
Saving Face,2004,R,91,87,1,TRUE,FALSE
Yes,2004,R,100,52,0.2,TRUE,TRUE
My Date with Drew,2004,PG,90,71,0.0852,TRUE,FALSE
Innocent Voices,2004,R,120,71,0.2,TRUE,TRUE
Winter Solstice,2004,R,90,60,0.2,FALSE,FALSE
Paper Clips,2004,G,82,72,1,TRUE,FALSE
Haven,2004,R,115,13,0.1,FALSE,TRUE
Romance & Cigarettes,2005,R,105,54,0.4,FALSE,FALSE
Why We Fight,2005,PG-13,98,78,1.9,TRUE,TRUE
The Dying Gaul,2005,R,101,49,0.3,TRUE,FALSE
The Salon,2005,PG-13,90,12,0.0924,FALSE,FALSE
White Noise,2005,PG-13,101,8,55.9,TRUE,TRUE
Coach Carter,2005,PG-13,136,65,67.2,TRUE,TRUE
Racing Stripes,2005,PG,102,35,49.2,FALSE,FALSE
Elektra,2005,PG-13,97,10,24.3,FALSE,TRUE
Assault on Precinct 13,2005,R,109,60,20,TRUE,TRUE
Are We There Yet?,2005,PG,95,11,82.3,TRUE,TRUE
Alone in the Dark,2005,R,96,1,5.1,FALSE,TRUE
Hide and Seek,2005,R,101,13,51,TRUE,TRUE
Boogeyman,2005,PG-13,89,13,46.4,FALSE,TRUE
The Wedding Date,2005,PG-13,90,10,32,FALSE,FALSE
Pooh's Heffalump Movie,2005,G,68,79,18,FALSE,FALSE
Hitch,2005,PG-13,118,69,177.6,TRUE,FALSE
Constellation,2005,PG-13,96,0,0.2,TRUE,FALSE
Son of the Mask,2005,PG,94,6,17,TRUE,TRUE
Constantine,2005,R,121,46,75.5,TRUE,TRUE
Because of Winn-Dixie,2005,PG,106,54,32.6,FALSE,FALSE
Man of the House,2005,PG-13,100,9,19.1,FALSE,FALSE
Diary of a Mad Black Woman,2005,PG-13,116,16,50.4,TRUE,FALSE
Be Cool,2005,PG-13,118,30,55.6,TRUE,FALSE
The Jacket,2005,R,103,44,6.3,TRUE,TRUE
The Pacifier,2005,PG,95,20,113,TRUE,TRUE
Robots,2005,PG,91,64,128.1,TRUE,FALSE
Hostage,2005,R,113,35,34.6,FALSE,TRUE
Ice Princess,2005,G,98,52,24.4,FALSE,TRUE
The Ring Two,2005,PG-13,110,20,75.9,TRUE,FALSE
Miss Congeniality 2: Armed and Fabulous,2005,PG-13,115,15,48.4,TRUE,TRUE
Guess Who,2005,PG-13,105,43,68,FALSE,FALSE
Beauty Shop,2005,PG-13,105,37,36.3,FALSE,FALSE
The Upside of Anger,2005,R,118,74,18.7,TRUE,TRUE
Fever Pitch,2005,PG-13,104,65,42,FALSE,TRUE
Sahara,2005,PG-13,124,39,68.6,TRUE,TRUE
The Ballad of Jack and Rose,2005,R,112,47,0.6,TRUE,FALSE
State Property 2,2005,R,94,14,1.7,TRUE,FALSE
